symbol,code,ex_date,pay_date,dividend_per_share,statement
JAAA,US.JAAA,2020-12-01,2020-12-07,0.06363,1股派息0.06363USD
JAAA,US.JAAA,2020-12-30,2021-01-06,0.06579,1股派息0.06579USD
JAAA,US.JAAA,2021-02-01,2021-02-05,0.05333,1股派息0.05333USD
JAAA,US.JAAA,2021-03-01,2021-03-05,0.05208,1股派息0.05208USD
JAAA,US.JAAA,2021-04-01,2021-04-08,0.05208,1股派息0.05208USD
JAAA,US.JAAA,2021-05-03,2021-05-07,0.05083,1股派息0.05083USD
JAAA,US.JAAA,2021-06-01,2021-06-07,0.05083,1股派息0.05083USD
JAAA,US.JAAA,2021-07-01,2021-07-08,0.05,1股派息0.05USD
JAAA,US.JAAA,2021-08-02,2021-08-06,0.03508,1股派息0.03508USD
JAAA,US.JAAA,2021-09-01,2021-09-08,0.04489,1股派息0.04489USD
JAAA,US.JAAA,2021-10-01,2021-10-07,0.04737,1股派息0.04737USD
JAAA,US.JAAA,2021-11-01,2021-11-05,0.05574,1股派息0.05574USD
JAAA,US.JAAA,2021-12-01,2021-12-07,0.06129,1股派息0.06129USD
JAAA,US.JAAA,2021-12-23,2021-12-30,0.0548,1股派息0.0548USD
JAAA,US.JAAA,2022-02-01,2022-02-07,0.04321,1股派息0.04321USD
JAAA,US.JAAA,2022-03-01,2022-03-07,0.03339,1股派息0.03339USD
JAAA,US.JAAA,2022-04-01,2022-04-07,0.04364,1股派息0.04364USD
JAAA,US.JAAA,2022-05-02,2022-05-06,0.06172,1股派息0.06172USD
JAAA,US.JAAA,2022-06-01,2022-06-07,0.0779,1股派息0.0779USD
JAAA,US.JAAA,2022-07-01,2022-07-08,0.08869,1股派息0.08869USD
JAAA,US.JAAA,2022-08-01,2022-08-05,0.10517,1股派息0.10517USD
JAAA,US.JAAA,2022-09-01,2022-09-08,0.1532,1股派息0.1532USD
JAAA,US.JAAA,2022-10-03,2022-10-07,0.15044,1股派息0.15044USD
JAAA,US.JAAA,2022-11-01,2022-11-07,0.17247,1股派息0.17247USD
JAAA,US.JAAA,2022-12-01,2022-12-07,0.2152,1股派息0.2152USD
JAAA,US.JAAA,2022-12-23,2022-12-30,0.22121,1股派息0.22121USD
JAAA,US.JAAA,2023-02-01,2023-02-07,0.2211,1股派息0.2211USD
JAAA,US.JAAA,2023-03-01,2023-03-07,0.2145,1股派息0.2145USD
JAAA,US.JAAA,2023-04-03,2023-04-10,0.23441,1股派息0.23441USD
JAAA,US.JAAA,2023-05-01,2023-05-05,0.2513,1股派息0.2513USD
JAAA,US.JAAA,2023-06-01,2023-06-07,0.248,1股派息0.248USD
JAAA,US.JAAA,2023-07-03,2023-07-10,0.25275,1股派息0.25275USD
JAAA,US.JAAA,2023-08-01,2023-08-07,0.26213,1股派息0.26213USD
JAAA,US.JAAA,2023-09-01,2023-09-08,0.2743,1股派息0.2743USD
JAAA,US.JAAA,2023-10-02,2023-10-06,0.2764,1股派息0.2764USD
JAAA,US.JAAA,2023-11-01,2023-11-07,0.2633,1股派息0.2633USD
JAAA,US.JAAA,2023-12-01,2023-12-07,0.2962,1股派息0.2962USD
JAAA,US.JAAA,2023-12-22,2023-12-29,0.27658,1股派息0.27658USD
JAAA,US.JAAA,2024-02-01,2024-02-07,0.27029,1股派息0.27029USD
JAAA,US.JAAA,2024-03-01,2024-03-07,0.26197,1股派息0.26197USD
JAAA,US.JAAA,2024-04-01,2024-04-05,0.26985,1股派息0.26985USD
JAAA,US.JAAA,2024-05-01,2024-05-07,0.27431,1股派息0.27431USD
JAAA,US.JAAA,2024-06-03,2024-06-07,0.25598,1股派息0.25598USD
JAAA,US.JAAA,2024-07-01,2024-07-08,0.27748,1股派息0.27748USD
JAAA,US.JAAA,2024-08-01,2024-08-07,0.26412,1股派息0.26412USD
JAAA,US.JAAA,2024-09-03,2024-09-09,0.27887,1股派息0.27887USD
JAAA,US.JAAA,2024-10-01,2024-10-07,0.2726,1股派息0.2726USD
JAAA,US.JAAA,2024-11-01,2024-11-07,0.25333,1股派息0.25333USD
JAAA,US.JAAA,2024-12-02,2024-12-06,0.28098,1股派息0.28098USD
JAAA,US.JAAA,2024-12-23,2024-12-30,0.26186,1股派息0.26186USD
JAAA,US.JAAA,2025-02-03,2025-02-07,0.20588,1股派息0.20588USD
JAAA,US.JAAA,2025-03-03,2025-03-07,0.21881,1股派息0.21881USD
JAAA,US.JAAA,2025-04-01,2025-04-07,0.23829,1股派息0.23829USD
JAAA,US.JAAA,2025-05-01,2025-05-07,0.24555,1股派息0.24555USD
JAAA,US.JAAA,2025-06-02,2025-06-06,0.21985,1股派息0.21985USD
JAAA,US.JAAA,2025-07-01,2025-07-08,0.22346,1股派息0.22346USD
JAAA,US.JAAA,2025-08-01,2025-08-07,0.21474,1股派息0.21474USD
JAAA,US.JAAA,2025-09-02,2025-09-08,0.22259,1股派息0.22259USD
JAAA,US.JAAA,2025-10-01,2025-10-07,0.22666,1股派息0.22666USD
JAAA,US.JAAA,2025-11-03,2025-11-07,0.22201,1股派息0.22201USD
JAAA,US.JAAA,2025-12-01,2025-12-05,0.19491,1股派息0.19491USD
JAAA,US.JAAA,2025-12-22,2025-12-29,0.24557,1股派息0.24557USD
JAAA,US.JAAA,2026-01-30,2026-02-05,0.18191,1股派息0.18191USD
JAAA,US.JAAA,2026-02-27,2026-03-05,0.1934,1股派息0.1934USD
JAAA,US.JAAA,2026-03-31,2026-04-07,0.2024,1股派息0.2024USD
JAAA,US.JAAA,2026-04-30,2026-05-06,0.20085,1股派息0.20085USD
JAAA,US.JAAA,2026-05-29,2026-06-04,0.19792,1股派息0.19792USD
JAAA,US.JAAA,2026-06-30,2026-07-07,0.20035,1股派息0.20035USD
JEPQ,US.JEPQ,2022-06-01,2022-06-06,0.37639,1股派息0.37639USD
JEPQ,US.JEPQ,2022-07-01,2022-07-07,0.33975,1股派息0.33975USD
JEPQ,US.JEPQ,2022-08-01,2022-08-04,0.40711,1股派息0.40711USD
JEPQ,US.JEPQ,2022-09-01,2022-09-07,0.54634,1股派息0.54634USD
JEPQ,US.JEPQ,2022-10-03,2022-10-06,0.37954,1股派息0.37954USD
JEPQ,US.JEPQ,2022-11-01,2022-11-04,0.68125,1股派息0.68125USD
JEPQ,US.JEPQ,2022-12-01,2022-12-06,0.5463,1股派息0.5463USD
JEPQ,US.JEPQ,2022-12-29,2023-01-04,0.57554,1股派息0.57554USD
JEPQ,US.JEPQ,2023-02-01,2023-02-06,0.44065,1股派息0.44065USD
JEPQ,US.JEPQ,2023-03-01,2023-03-06,0.43296,1股派息0.43296USD
JEPQ,US.JEPQ,2023-04-03,2023-04-06,0.45394,1股派息0.45394USD
JEPQ,US.JEPQ,2023-05-01,2023-05-04,0.48406,1股派息0.48406USD
JEPQ,US.JEPQ,2023-06-01,2023-06-06,0.35656,1股派息0.35656USD
JEPQ,US.JEPQ,2023-07-03,2023-07-07,0.3668,1股派息0.3668USD
JEPQ,US.JEPQ,2023-08-01,2023-08-04,0.3659,1股派息0.3659USD
JEPQ,US.JEPQ,2023-09-01,2023-09-07,0.45056,1股派息0.45056USD
JEPQ,US.JEPQ,2023-10-02,2023-10-05,0.41719,1股派息0.41719USD
JEPQ,US.JEPQ,2023-11-01,2023-11-06,0.41766,1股派息0.41766USD
JEPQ,US.JEPQ,2023-12-01,2023-12-06,0.42214,1股派息0.42214USD
JEPQ,US.JEPQ,2023-12-28,2024-01-03,0.39248,1股派息0.39248USD
JEPQ,US.JEPQ,2024-02-01,2024-02-06,0.34167,1股派息0.34167USD
JEPQ,US.JEPQ,2024-03-01,2024-03-06,0.38037,1股派息0.38037USD
JEPQ,US.JEPQ,2024-04-01,2024-04-04,0.42728,1股派息0.42728USD
JEPQ,US.JEPQ,2024-05-01,2024-05-06,0.43112,1股派息0.43112USD
JEPQ,US.JEPQ,2024-06-03,2024-06-05,0.4497,1股派息0.4497USD
JEPQ,US.JEPQ,2024-07-01,2024-07-03,0.42115,1股派息0.42115USD
JEPQ,US.JEPQ,2024-08-01,2024-08-05,0.42676,1股派息0.42676USD
JEPQ,US.JEPQ,2024-09-03,2024-09-05,0.55686,1股派息0.55686USD
JEPQ,US.JEPQ,2024-10-01,2024-10-03,0.55062,1股派息0.55062USD
JEPQ,US.JEPQ,2024-11-01,2024-11-05,0.49362,1股派息0.49362USD
JEPQ,US.JEPQ,2024-12-02,2024-12-04,0.50832,1股派息0.50832USD
JEPQ,US.JEPQ,2024-12-31,2025-01-03,0.45584,1股派息0.45584USD
JEPQ,US.JEPQ,2025-02-03,2025-02-05,0.45019,1股派息0.45019USD
JEPQ,US.JEPQ,2025-03-03,2025-03-05,0.48238,1股派息0.48238USD
JEPQ,US.JEPQ,2025-04-01,2025-04-03,0.54069,1股派息0.54069USD
JEPQ,US.JEPQ,2025-05-01,2025-05-05,0.59786,1股派息0.59786USD
JEPQ,US.JEPQ,2025-06-02,2025-06-04,0.62074,1股派息0.62074USD
JEPQ,US.JEPQ,2025-07-01,2025-07-03,0.49416,1股派息0.49416USD
JEPQ,US.JEPQ,2025-08-01,2025-08-05,0.44377,1股派息0.44377USD
JEPQ,US.JEPQ,2025-09-02,2025-09-04,0.44195,1股派息0.44195USD
JEPQ,US.JEPQ,2025-10-01,2025-10-03,0.44612,1股派息0.44612USD
JEPQ,US.JEPQ,2025-11-03,2025-11-05,0.47553,1股派息0.47553USD
JEPQ,US.JEPQ,2025-12-01,2025-12-03,0.55323,1股派息0.55323USD
JEPQ,US.JEPQ,2025-12-31,2026-01-05,0.5761,1股派息0.5761USD
JEPQ,US.JEPQ,2026-02-02,2026-02-04,0.46572,1股派息0.46572USD
JEPQ,US.JEPQ,2026-03-02,2026-03-04,0.509,1股派息0.509USD
JEPQ,US.JEPQ,2026-04-01,2026-04-06,0.5586,1股派息0.5586USD
JEPQ,US.JEPQ,2026-05-01,2026-05-05,0.59095,1股派息0.59095USD
JEPQ,US.JEPQ,2026-06-01,2026-06-03,0.56444,1股派息0.56444USD
JEPQ,US.JEPQ,2026-07-01,2026-07-06,0.63658,1股派息0.63658USD
